"periodo_denuncia,anio_denuncia,fecha_descarga,distrito_fiscal,especialidad,tipo_caso,generico,subgenerico,articulo,des_articulo,cantidad,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte,latitud,longitud"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA FE PUBLICA,FALSIFICACION DE DOCUMENTOS EN GENERAL,427,Falsificación de documentos,84,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA FE PUBLICA,FALSIFICACION DE DOCUMENTOS EN GENERAL,428,Falsedad ideológica,31,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA FE PUBLICA,FALSIFICACION DE DOCUMENTOS EN GENERAL,429,Omisión de consignar declaraciones en documentos,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA FE PUBLICA,FALSIFICACION DE DOCUMENTOS EN GENERAL,430,""Supresión, destrucción u ocultamiento de documentos"",1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA FE PUBLICA,""FALSIFICACION DE SELLOS, TIMBRES Y MARCAS OFICIALES"",434,Fabricación o falsificación de sellos o timbres oficiales,9,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA FE PUBLICA,""FALSIFICACION DE SELLOS, TIMBRES Y MARCAS OFICIALES"",435,Fabricación fraudulenta o falsificación de marcas o contraseñas oficiales,19,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA HUMANIDAD,DESAPARICION FORZADA,320,Desaparición forzada de personas,5,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA HUMANIDAD,DISCRIMINACION,323,Discriminación e incitación a la discriminación,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA LIBERTAD,OFENSAS AL PUDOR PUBLICO,183,Exhibiciones y publicaciones obscenas,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA LIBERTAD,VIOLACION DE DOMICILIO,159,Violación de domicilio,14,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA LIBERTAD,VIOLACION DE DOMICILIO,160,Allanamiento ilegal de domicilio,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA LIBERTAD,VIOLACION DE LA INTIMIDAD,154,Violación de la intimidad,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA LIBERTAD,VIOLACION DE LA INTIMIDAD,154-B,""Difusión de imágenes, materiales audiovisuales o audios con contenido sexual"",2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA LIBERTAD,VIOLACION DE LA LIBERTAD PERSONAL,151,Coacción,62,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
